,Filial,Servico,CEP
33099,J3 FLEX SP,AVULSO,01001-001
33100,J3 FLEX SP,AVULSO,01001-010
33101,J3 FLEX SP,AVULSO,01001-900
33102,J3 FLEX SP,AVULSO,01001-901
33103,J3 FLEX SP,AVULSO,01001-902
33104,J3 FLEX SP,AVULSO,01002-000
33105,J3 FLEX SP,AVULSO,01002-001
33106,J3 FLEX SP,AVULSO,01002-010
33107,J3 FLEX SP,AVULSO,01002-020
33108,J3 FLEX SP,AVULSO,01002-900
33109,J3 FLEX SP,AVULSO,01002-901
33110,J3 FLEX SP,AVULSO,01002-902
33111,J3 FLEX SP,AVULSO,01002-903
33112,J3 FLEX SP,AVULSO,01003-000
33113,J3 FLEX SP,AVULSO,01003-001
33114,J3 FLEX SP,AVULSO,01003-010
33115,J3 FLEX SP,AVULSO,01003-900
33116,J3 FLEX SP,AVULSO,01003-901
33117,J3 FLEX SP,AVULSO,01003-902
33118,J3 FLEX SP,AVULSO,01003-903
33119,J3 FLEX SP,AVULSO,01003-904
33120,J3 FLEX SP,AVULSO,01003-905
33121,J3 FLEX SP,AVULSO,01004-000
33122,J3 FLEX SP,AVULSO,01004-010
33123,J3 FLEX SP,AVULSO,01004-900
33124,J3 FLEX SP,AVULSO,01004-901
33125,J3 FLEX SP,AVULSO,01004-902
33126,J3 FLEX SP,AVULSO,01004-903
33127,J3 FLEX SP,AVULSO,01004-904
33128,J3 FLEX SP,AVULSO,01005-000
33129,J3 FLEX SP,AVULSO,01005-010
33130,J3 FLEX SP,AVULSO,01005-020
33131,J3 FLEX SP,AVULSO,01005-030
33132,J3 FLEX SP,AVULSO,01005-900
33133,J3 FLEX SP,AVULSO,01006-000
33134,J3 FLEX SP,AVULSO,01006-001
33135,J3 FLEX SP,AVULSO,01006-010
33136,J3 FLEX SP,AVULSO,01006-020
33137,J3 FLEX SP,AVULSO,01006-030
33138,J3 FLEX SP,AVULSO,01006-900
33139,J3 FLEX SP,AVULSO,01006-901
33140,J3 FLEX SP,AVULSO,01006-903
33141,J3 FLEX SP,AVULSO,01006-904
33142,J3 FLEX SP,AVULSO,01007-000
33143,J3 FLEX SP,AVULSO,01007-010
33144,J3 FLEX SP,AVULSO,01007-020
33145,J3 FLEX SP,AVULSO,01007-030
33146,J3 FLEX SP,AVULSO,01007-040
33147,J3 FLEX SP,AVULSO,01007-050
33148,J3 FLEX SP,AVULSO,01007-060
33149,J3 FLEX SP,AVULSO,01007-070
33150,J3 FLEX SP,AVULSO,01007-080
33151,J3 FLEX SP,AVULSO,01007-900
33152,J3 FLEX SP,AVULSO,01007-901
33153,J3 FLEX SP,AVULSO,01007-904
33154,J3 FLEX SP,AVULSO,01007-906
33155,J3 FLEX SP,AVULSO,01008-000
33156,J3 FLEX SP,AVULSO,01008-010
33157,J3 FLEX SP,AVULSO,01008-900
33158,J3 FLEX SP,AVULSO,01008-901
33159,J3 FLEX SP,AVULSO,01008-902
33160,J3 FLEX SP,AVULSO,01008-903
33161,J3 FLEX SP,AVULSO,01008-904
33162,J3 FLEX SP,AVULSO,01008-905
33163,J3 FLEX SP,AVULSO,01008-906
33164,J3 FLEX SP,AVULSO,01008-908
33165,J3 FLEX SP,AVULSO,01009-000
33166,J3 FLEX SP,AVULSO,01009-901
33167,J3 FLEX SP,AVULSO,01009-902
33168,J3 FLEX SP,AVULSO,01009-903
33169,J3 FLEX SP,AVULSO,01009-904
33170,J3 FLEX SP,AVULSO,01009-905
33171,J3 FLEX SP,AVULSO,01009-906
33172,J3 FLEX SP,AVULSO,01009-907
33173,J3 FLEX SP,AVULSO,01010-000
33174,J3 FLEX SP,AVULSO,01010-001
33175,J3 FLEX SP,AVULSO,01010-010
33176,J3 FLEX SP,AVULSO,01010-900
33177,J3 FLEX SP,AVULSO,01010-901
33178,J3 FLEX SP,AVULSO,01010-902
33179,J3 FLEX SP,AVULSO,01010-903
33180,J3 FLEX SP,AVULSO,01010-904
33181,J3 FLEX SP,AVULSO,01010-905
33182,J3 FLEX SP,AVULSO,01011-000
33183,J3 FLEX SP,AVULSO,01011-100
33184,J3 FLEX SP,AVULSO,01011-900
33185,J3 FLEX SP,AVULSO,01011-901
33186,J3 FLEX SP,AVULSO,01011-902
33187,J3 FLEX SP,AVULSO,01011-903
33188,J3 FLEX SP,AVULSO,01011-904
33189,J3 FLEX SP,AVULSO,01012-000
33190,J3 FLEX SP,AVULSO,01012-001
33191,J3 FLEX SP,AVULSO,01012-010
33192,J3 FLEX SP,AVULSO,01012-020
33193,J3 FLEX SP,AVULSO,01012-030
33194,J3 FLEX SP,AVULSO,01012-900
33195,J3 FLEX SP,AVULSO,01012-902
33196,J3 FLEX SP,AVULSO,01012-904
33197,J3 FLEX SP,AVULSO,01012-905
33198,J3 FLEX SP,AVULSO,01012-907
33199,J3 FLEX SP,AVULSO,01012-908
33200,J3 FLEX SP,AVULSO,01012-909
33201,J3 FLEX SP,AVULSO,01013-000
33202,J3 FLEX SP,AVULSO,01013-001
33203,J3 FLEX SP,AVULSO,01013-010
33204,J3 FLEX SP,AVULSO,01013-020
33205,J3 FLEX SP,AVULSO,01013-901
33206,J3 FLEX SP,AVULSO,01013-902
33207,J3 FLEX SP,AVULSO,01013-903
33208,J3 FLEX SP,AVULSO,01013-904
33209,J3 FLEX SP,AVULSO,01013-905
33210,J3 FLEX SP,AVULSO,01013-906
33211,J3 FLEX SP,AVULSO,01013-907
33212,J3 FLEX SP,AVULSO,01013-909
33213,J3 FLEX SP,AVULSO,01013-910
